id,name,shortdescription,description,content,studycredit,location,contact_id,level,learningoutcomes,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date,combined_text
308,verant duurza innove nieuw techno,ai innova verant busine,"het voorstel is om deze keuze module een “voortuin” te laten zijn van de nieuw te ontwikkelen master “responsible ai”.

in deze keuzemodule gaan studenten nieuwe technologieën en trends op gebied van ds/ai verkennen, om er vervolgens één uit te kiezen die verder onderzocht wordt en uitgewerkt wordt. ook leren we de studenten onderzoek te doen naar de potentiële toepasbaarheid, waarbij rekening gehouden moet worden met bijv. ethische aspecten, randvoorwaarden, haalbaarheid, enz.
in de laatste week presenteren studenten de resultaten aan de betrokken bedrijven.","het voorstel is om deze keuze module een “voortuin” te laten zijn van de nieuw te ontwikkelen master “responsible ai”.

in deze keuzemodule gaan studenten nieuwe technologieën en trends op gebied van ds/ai verkennen, om er vervolgens één uit te kiezen die verder onderzocht wordt en uitgewerkt wordt. ook leren we de studenten onderzoek te doen naar de potentiële toepasbaarheid, waarbij rekening gehouden moet worden met bijv. ethische aspecten, randvoorwaarden, haalbaarheid, enz.
in de laatste week presenteren studenten de resultaten aan de betrokken bedrijven.",15,bosch,101,nlqf6,"1.	de student kan nieuwe technologieën, trends en ontwikkelingen op gebied van ds/ai in kaart brengen en de kansen hiervan toelichten.
2.	de student kan een nieuwe ai-technologie verder uitwerken in een mockup/businessmodel.
3.	de student kan de haalbaarheid van een nieuwe ai-technologie onderbouwen op verscheidene aspecten (financieel, technisch, potentieel, ethisch, risico’s, enz.).",ai innova verant busine,0.88,325,4,28,2025-12-20,verant duurza innove nieuw techno ai innova verant busine ai innova verant busine bosch
309,factor future,smart indust digita maakin,in deze keuzemodule leer je digitale transformatie realiseren binnen bedrijven. de ontwikkelingen rondom ‘smart industry’ of ‘industry 4.0’ gaan ontzettend hard. je leert van de beste bedrijven wat de nieuwste technologieën zijn en hoe je ze kunt inzetten om organisaties een stap voorwaarts te helpen.,in deze keuzemodule leer je digitale transformatie realiseren binnen bedrijven. de ontwikkelingen rondom ‘smart industry’ of ‘industry 4.0’ gaan ontzettend hard. je leert van de beste bedrijven wat de nieuwste technologieën zijn en hoe je ze kunt inzetten om organisaties een stap voorwaarts te helpen.,30,bosch,101,nlqf6,"je leert meer over (de toepassing van) nieuwe technologiën van experts die voorop lopen in de digitalisering in de maakindustrie. daarnaast onderzoek je wat de visie en ambities zijn van een bedrijf en bepaalt samen wat de beste eerstvolgende stap is in hun digitale transformatie. vervolgens werk je met de sprint-methodiek in 3 fases naar een tastbare demo of proof-of-concept, zodat jij je opdrachtgever kunt overtuigen met een werkende oplossing.",smart indust digita maakin,0.51,400,1,65,2025-11-25,factor future smart indust digita maakin smart indust digita maakin bosch
310,machin motion,roboti werkve ontwer protot,"tijdens deze keuzemodule ontwerp je samen met studenten uit verschillende disciplines een snelle, nauwkeurige en automatische machine. met een team ga je aan de slag met een opdracht uit het bedrijfsleven. jullie doorlopen het hele ontwerpproces, van opdrachtomschrijving tot werkend prototype.","tijdens deze keuzemodule ontwerp je samen met studenten uit verschillende disciplines een snelle, nauwkeurige en automatische machine. met een team ga je aan de slag met een opdracht uit het bedrijfsleven. jullie doorlopen het hele ontwerpproces, van opdrachtomschrijving tot werkend prototype.",30,bosch,101,nlqf6,je ontwerpt samen met studenten uit verschillende disciplines een geavanceerde machine die aan de eisen van de klant voldoet en opgeleverd kan worden.,roboti werkve ontwer protot,0.37,322,4,20,2025-10-04,machin motion roboti werkve ontwer protot roboti werkve ontwer protot bosch
311,contin verbet,verbet greenb bedrij six sigma,"centraal in deze keuzemodule staan twee intensieve verbeterprojecten bij regionale bedrijven, die ook concrete resultaten opleveren. je verdiept je in verbetermethodes zoals lean manufacturing en six sigma en leert tijdens twee praktijkopdrachten in de maak- en foodindustrie in brabant en noord-limburg hoe je deze methodes op een gestructureerde manier toepast. je sluit de minor af met een internationaal erkend lean six sigma green belt-certificaat.","centraal in deze keuzemodule staan twee intensieve verbeterprojecten bij regionale bedrijven, die ook concrete resultaten opleveren. je verdiept je in verbetermethodes zoals lean manufacturing en six sigma en leert tijdens twee praktijkopdrachten in de maak- en foodindustrie in brabant en noord-limburg hoe je deze methodes op een gestructureerde manier toepast. je sluit de minor af met een internationaal erkend lean six sigma green belt-certificaat.",30,bosch,101,nlqf6,"je verdiept je in de toepassing van verbetermethodes en past deze toe bij een verbeteropdracht voor een regionaal bedrijf. 
je bent in staat middels verschillende meetmethodes processen en verliezen in kaart te brengen en leert meer op het gebied van group dynamics.
je leert op verschillende manieren verbeteringen bedenken en leert hoe je processen kwalitatief en kwantitatief kunt borgen. ook krijg je de mogenlijkheid je lean six sigma belt te halen.",verbet greenb bedrij six sigma,0.45,45,4,70,2025-12-20,contin verbet verbet greenb bedrij six sigma verbet greenb bedrij six sigma bosch
312,system progra c,projec progra softwa c solid,"in een projectgroep bouw je met behulp van c++ een game engine, die je valideert middels een applicatie. je onderbouwt de keuze voor jullie eigen projectaanpak en werkt volgens de solid principes. individueel werk je aan vaardigheden die nodig zijn bij het programmeren van systemen. je bouwt software die bedoeld is voor andere software.","in een projectgroep bouw je met behulp van c++ een game engine, die je valideert middels een applicatie. je onderbouwt de keuze voor jullie eigen projectaanpak en werkt volgens de solid principes. individueel werk je aan vaardigheden die nodig zijn bij het programmeren van systemen. je bouwt software die bedoeld is voor andere software.",30,bosch,101,nlqf6,je  bouwt zelfstandig met behulp van c++ een systeem dat bestaat uit meerdere softwarecomponenten die samenwerken.,projec progra softwa solid,0.58,182,3,64,2025-09-08,system progra c projec progra softwa c solid projec progra softwa solid bosch
313,emerge techno playgr,multid samenw persoo ontwik techni design,"je werkt in teamverband aan real-life opdrachten van ecthe opdrachtgevers. je maakt hierbij gebruik van technologieën zoals iot, smart city, gaming, robotica, vr en ar. multidisciplinair samenwerken en persoonlijke ontwikkeling staan centraal, waarbij je je expertise combineert  voor het oplossen van problemen van de  opdrachtgevers. naast het groepswerk werk je 20% van de tijd aan een persoonlijk te kiezen leerdoelen op een technisch of design onderwerp van een andere opleiding. docenten, teamexpertise en workshops ondersteunen kennisontwikkeling.","je werkt in teamverband aan real-life opdrachten van ecthe opdrachtgevers. je maakt hierbij gebruik van technologieën zoals iot, smart city, gaming, robotica, vr en ar. multidisciplinair samenwerken en persoonlijke ontwikkeling staan centraal, waarbij je je expertise combineert  voor het oplossen van problemen van de  opdrachtgevers. naast het groepswerk werk je 20% van de tijd aan een persoonlijk te kiezen leerdoelen op een technisch of design onderwerp van een andere opleiding. docenten, teamexpertise en workshops ondersteunen kennisontwikkeling.",30,bosch,101,nlqf6,je ontwerpt en realiseert in teamverband een passende technische oplossing voor een maatschappelijk vraagstuk dat waarde creëert voor de belanghebbenden. je richt daarnaast individueel op een onderwerp dat geen onderdeel uitmaakt van het curriculum van jouw opleiding als individueel leerdoel.,multid samenw persoo ontwik techni design,0.83,29,2,32,2025-10-10,emerge techno playgr multid samenw persoo ontwik techni design multid samenw persoo ontwik techni design bosch
314,meanin data design,presen ontdek inzich maken datum,"je leert in teamverband data te analyseren en inzichtelijk te maken door trends en patronen te identificeren. je ontwikkelt vaardigheden om deze informatie op een inspirerende en begrijpelijke manier te presenteren (over te brengen) en maakt complexe gegevens toegankelijk, zodat gebruikers zelf verhalen kunnen ontdekken.","je leert in teamverband data te analyseren en inzichtelijk te maken door trends en patronen te identificeren. je ontwikkelt vaardigheden om deze informatie op een inspirerende en begrijpelijke manier te presenteren (over te brengen) en maakt complexe gegevens toegankelijk, zodat gebruikers zelf verhalen kunnen ontdekken.",30,bosch,101,nlqf6,"je voert data-analyses uit en maakt visualisaties om daarmee nieuwe inzichten te geven aan een bedrijf. 
met deze data bouw je voorspelmodellen en daarmee optimaliseer je bijvoorbeeld de instellingen van machines of het productieproces, verbeter je de kwaliteit of kom je tot een voorspelbare planning voor de logistiek en het onderhoud van machines. 
de context is afhankelijk van de domeinkeuze.",presen ontdek inzich maken datum,0.86,330,5,23,2025-12-22,meanin data design presen ontdek inzich maken datum presen ontdek inzich maken datum bosch
315,europe projec semest,europe real life projec,"following company project presentations, the first group task entails selecting projects and forming teams. this phase facilitates familiarization with the company, project initiation, including requirement gathering, planning, and team building. projects primarily emphasize general engineering skills, covering production, quality, design, r&d, environmental aspects, and customer support, with less emphasis on specialized skills like mechanics, electronics, or coding.","following company project presentations, the first group task entails selecting projects and forming teams. this phase facilitates familiarization with the company, project initiation, including requirement gathering, planning, and team building. projects primarily emphasize general engineering skills, covering production, quality, design, r&d, environmental aspects, and customer support, with less emphasis on specialized skills like mechanics, electronics, or coding.",30,bosch,101,nlqf6,"you will have gained the ability to work in diverse, interdisciplinary teams on real-life projects within an international context. you will have developed a comprehensive skill set encompassing general engineering competencies, project management, accountability for project progress, and effective presentation skills, while also improving their proficiency in the english language.",europe realli projec,0.3,273,5,20,2025-12-17,europe projec semest europe real life projec europe realli projec bosch
316,busine innova,innova creati,"in deze keuzemodule verdiep je je in de organisatorische kanten van innovatie. in de praktijk begint een innovatieproces vaak zonder duidelijk afgebakend probleem of vraagstuk. dit probleem of vraagstuk moet je eerst zelf onderzoeken en scherp krijgen. het vraagt om anders denken, creativiteit en weten hoe je inzichten van verschillende partijen kunt combineren.","in deze keuzemodule verdiep je je in de organisatorische kanten van innovatie. in de praktijk begint een innovatieproces vaak zonder duidelijk afgebakend probleem of vraagstuk. dit probleem of vraagstuk moet je eerst zelf onderzoeken en scherp krijgen. het vraagt om anders denken, creativiteit en weten hoe je inzichten van verschillende partijen kunt combineren.",30,bosch,101,nlqf6,samen met een andere student zal je de opgedane kennis uit de workshops toepassen in een innovatieproject in een technische omgeving. hierbij ga je aan de slag om een vernieuwing in gang te zetten en te begeleiden. het leerproces staat hierbij centraal.,innova creati,0.63,409,3,68,2025-11-22,busine innova innova creati innova creati bosch
317,datage beslui ai,datum scienc ai python onderz,in deze module leren studenten de basis van dataverwerking en visualisatie. ze maken met elkaars discipline kennis door de data die ze samen interpreteren. op basis van een voor hun vakgebied relevante dataset ontdekken studenten wat ze van deze data kunnen leren.,in deze module leren studenten de basis van dataverwerking en visualisatie. ze maken met elkaars discipline kennis door de data die ze samen interpreteren. op basis van een voor hun vakgebied relevante dataset ontdekken studenten wat ze van deze data kunnen leren.,15,breda,101,nlqf6,de student interpreteert eenvoudige data-analyses. ze gebruikt python met numpy en pandas om een data-analyse te maken en weten hoe ze de data duidelijk kunnen representeren. ze stelt aanbevelingen op voor realistische vraagstukken en data uit de praktijk.,datum scienc ai python onderz,0.57,151,4,59,2025-10-12,datage beslui ai datum scienc ai python onderz datum scienc ai python onderz breda
318,ai drif roboti,smart indust smart health,"intro
nu al hoort men overal dat robots en ai “onze banen” gaan overnemen. chatgpt, midjourney en een lijst andere ai tools bieden mogelijkheden voor het snel en aantrekkelijk genereren van content. robots kunnen veel algoritmische taken van fabriekswerkers overnemen. maar kunnen robots ook functioneren in een minder vastomlijnde omgeving in samenwerking met mensen? (cobots)

inhoud
in deze module gaan de studenten een robot bouwen (uit een kit of op basis van een platform) en die machine learning (en/of andere ai toepassingen) toepassen om de robot te trainen om moeilijke taken te vervullen.   op te leveren producten: een robot, de gedocumenteerde avonturen van de robot, het “brein” van de robot en een reflectie op hoe hier zakelijke of commerciële toepassingen voor te bedenken zouden zijn.","intro
nu al hoort men overal dat robots en ai “onze banen” gaan overnemen. chatgpt, midjourney en een lijst andere ai tools bieden mogelijkheden voor het snel en aantrekkelijk genereren van content. robots kunnen veel algoritmische taken van fabriekswerkers overnemen. maar kunnen robots ook functioneren in een minder vastomlijnde omgeving in samenwerking met mensen? (cobots)

inhoud
in deze module gaan de studenten een robot bouwen (uit een kit of op basis van een platform) en die machine learning (en/of andere ai toepassingen) toepassen om de robot te trainen om moeilijke taken te vervullen.   op te leveren producten: een robot, de gedocumenteerde avonturen van de robot, het “brein” van de robot en een reflectie op hoe hier zakelijke of commerciële toepassingen voor te bedenken zouden zijn.",15,breda,101,nlqf6,ntb,smart indust smart health,0.44,469,1,51,2025-10-11,ai drif roboti smart indust smart health smart indust smart health breda
319,green blen,smart indust smart health,studenten leren theorie en praktijk van een procesverbetering op green belt niveau (als mogelijk volgens erkende richtlijnen). er wordt een aantoonbare besparing opgeleverd. aan deze module hangt een green belt certificering.,studenten leren theorie en praktijk van een procesverbetering op green belt niveau (als mogelijk volgens erkende richtlijnen). er wordt een aantoonbare besparing opgeleverd. aan deze module hangt een green belt certificering.,15,tilbur,101,nlqf5,ntb,smart indust smart health,0.38,380,4,53,2025-12-10,green blen smart indust smart health smart indust smart health tilbur
320,smart health,smart health,"intro
er ligt een gat tussen techneuten en zorgprofessionals. techneuten missen domeinkennis van de zorg en zorgprofessionals hebben geen goed beeld van de (on)mogelijkheden van technologie. deze module brengt de twee samen om zorgvraagstukken aan te pakken.

inhoud
op basis van een interdisciplinair project gaan studenten van atix en agz samen aan de slag om de zorg te verbeteren. in het project wordt de kennis uit de opleiding gebruikt om een challenge aan te pakken. het doel is techneuten te introduceren in de belevingswereld van zorgprofessionals en andersom. naast het gezamenlijk aanpakken van de challenge zou dat bijvoorbeeld ook in samenwerking met amphia in het ziekenhuis kunnen plaatsvinden. technische diepgang wordt geborgd.","intro
er ligt een gat tussen techneuten en zorgprofessionals. techneuten missen domeinkennis van de zorg en zorgprofessionals hebben geen goed beeld van de (on)mogelijkheden van technologie. deze module brengt de twee samen om zorgvraagstukken aan te pakken.

inhoud
op basis van een interdisciplinair project gaan studenten van atix en agz samen aan de slag om de zorg te verbeteren. in het project wordt de kennis uit de opleiding gebruikt om een challenge aan te pakken. het doel is techneuten te introduceren in de belevingswereld van zorgprofessionals en andersom. naast het gezamenlijk aanpakken van de challenge zou dat bijvoorbeeld ook in samenwerking met amphia in het ziekenhuis kunnen plaatsvinden. technische diepgang wordt geborgd.",15,breda,101,nlqf5,ntb,smart health,0.52,480,3,47,2025-09-06,smart health smart health smart health breda
321,virtua augmen realit,virtua realit augmen realit digita twin game user experi,"in deze module leren studenten een doeltreffende vr/ar applicatie te maken, waarbij ux-design, 3d rendering, interaction-design, game design en asset creatie aan bod komen.","in deze module leren studenten een doeltreffende vr/ar applicatie te maken, waarbij ux-design, 3d rendering, interaction-design, game design en asset creatie aan bod komen.",15,breda,101,nlqf5,"de student ontwerpt en realiseert een toepassing voor vr/ar voor een realistisch vraagstuk, waarbij de toepassing een serious game, digital twin of procesoptimalisatie is.",virtua realit augmen realit digita twin game user experi,0.91,152,5,50,2025-10-22,virtua augmen realit virtua realit augmen realit digita twin game user experi virtua realit augmen realit digita twin game user experi breda
322,cybers,hackin digita veilig infras,"studenten leren aan de hand van pakkende voorbeelden, waarbij ze zelf op de stoel van hackers zitten, over wat de gevaren van het internet zijn en hoe ze zich daartegen kunnen wapenen. leer over de ethiek en wetgeving erachter, social engineering en de technische aspecten van het hacken.","studenten leren aan de hand van pakkende voorbeelden, waarbij ze zelf op de stoel van hackers zitten, over wat de gevaren van het internet zijn en hoe ze zich daartegen kunnen wapenen. leer over de ethiek en wetgeving erachter, social engineering en de technische aspecten van het hacken.",15,breda,101,nlqf5,"de student adviseert gebruikers over cyberveiligheid, op het gebied van ethiek en wetgeving, social engineering en de technische maatregelen tegen hacken.",hackin digita veilig infras,0.51,101,4,27,2025-09-26,cybers hackin digita veilig infras hackin digita veilig infras breda
323,advanc comput vision,smart indust,"intro
computer vision maakt het mogelijk voor computers om te zien en te begrijpen wat er in de wereld om hen heen gebeurt. het wordt gebruikt in een breed scala aan toepassingen, waaronder gezichtsherkenning, objectdetectie en zelfrijdende auto's. het is een snelgroeiend vakgebied met de potentie om de manier waarop we met de wereld om ons heen omgaan te revolutioneren.

inhoud
deze module introduceert de klassieke beeldverwerking (5ec), de ai gebaseerde beeldverwerking (5ec) en een op ai gebaseerde praktijktoepassing (5ec).","intro
computer vision maakt het mogelijk voor computers om te zien en te begrijpen wat er in de wereld om hen heen gebeurt. het wordt gebruikt in een breed scala aan toepassingen, waaronder gezichtsherkenning, objectdetectie en zelfrijdende auto's. het is een snelgroeiend vakgebied met de potentie om de manier waarop we met de wereld om ons heen omgaan te revolutioneren.

inhoud
deze module introduceert de klassieke beeldverwerking (5ec), de ai gebaseerde beeldverwerking (5ec) en een op ai gebaseerde praktijktoepassing (5ec).",15,breda,101,nlqf6,ntb,smart indust,0.64,363,5,58,2025-11-03,advanc comput vision smart indust smart indust breda
324,engine non engine,smart indust smart health smart energy,"wat betekent het om fysieke producten te realiseren? een module om niet-engineers kennis te laten maken met ontwerptechnieken, productiemethoden en -processen. uiteindelijk is het de bedoeling om zelf wat te creeren.

steeds vaker wordt technologie ingezet voor het oplossen van maatschappelijke problemen. de studenten die deelnemen aan de keuzemodule moeten zelf een oplossing bedenken voor een bestaand maatschappelijk probleem. vervolgens gaan zij dit ontwerpen en realiseren. dit kan een digitaal of fysiek product zijn. de beoordeling kan gebaseerd zijn op het opgeleverde product of op bijvoorbeeld een dossier die de studenten maken op basis van hun ontwikkelingen en bevindingen.  zo leren de studenten ook om zelf van a tot z een product te bedenken én te realiseren.  dit onderwerp past bij meerdere avans zwaartepunten en combineert productoplossingen met problemen binnen de maatschappij. de lessen kunnen ingericht worden op basis van behoeftes, maar ook om te helpen met het bedenken van concepten tot helpen met het realiseren van producten.","wat betekent het om fysieke producten te realiseren? een module om niet-engineers kennis te laten maken met ontwerptechnieken, productiemethoden en -processen. uiteindelijk is het de bedoeling om zelf wat te creeren.

steeds vaker wordt technologie ingezet voor het oplossen van maatschappelijke problemen. de studenten die deelnemen aan de keuzemodule moeten zelf een oplossing bedenken voor een bestaand maatschappelijk probleem. vervolgens gaan zij dit ontwerpen en realiseren. dit kan een digitaal of fysiek product zijn. de beoordeling kan gebaseerd zijn op het opgeleverde product of op bijvoorbeeld een dossier die de studenten maken op basis van hun ontwikkelingen en bevindingen.  zo leren de studenten ook om zelf van a tot z een product te bedenken én te realiseren.  dit onderwerp past bij meerdere avans zwaartepunten en combineert productoplossingen met problemen binnen de maatschappij. de lessen kunnen ingericht worden op basis van behoeftes, maar ook om te helpen met het bedenken van concepten tot helpen met het realiseren van producten.",15,breda,101,nlqf5,ntb,smart indust smart health smart energy,0.76,331,1,45,2025-12-07,engine non engine smart indust smart health smart energy smart indust smart health smart energy breda
325,makers,makers uitvin engine design thinki storyt,in deze module bedenken studenten een oplossing voor een maatschappelijk probleem. vervolgens gaan zij dit ontwerpen en realiseren. dat doen ze onder begeleiding van verschillende docenten en instructeurs die ze de engineeringvaardigheden aanleren die ze nodig hebben om tot het resultaat te komen. dit doen ze in een inspirerende omgeving waar ze alle materialen voorhanden hebben.,in deze module bedenken studenten een oplossing voor een maatschappelijk probleem. vervolgens gaan zij dit ontwerpen en realiseren. dat doen ze onder begeleiding van verschillende docenten en instructeurs die ze de engineeringvaardigheden aanleren die ze nodig hebben om tot het resultaat te komen. dit doen ze in een inspirerende omgeving waar ze alle materialen voorhanden hebben.,15,breda,101,nlqf6,"de student vindt een oplossing voor een groot maatschappelijk probleem uit. daarvoor doet zij engineeringsvaardigheden op, die ze deels zelfstandig ontwikkelt. het product wordt met design thinking ontworpen. de student pitched het product voor een investeerder.",makers uitvin engine design thinki storyt,0.54,297,5,77,2025-10-29,makers makers uitvin engine design thinki storyt makers uitvin engine design thinki storyt breda
326,operat proces tbk,studen leren proble operat primai bedrij analys hierbi divers kwalit kwanti model inzett,"studenten leren om problemen in operationele, primaire bedrijfsprocessen te analyseren. hierbij worden diverse kwalitatieve en kwantitatieve modellen ingezet.","studenten leren om problemen in operationele, primaire bedrijfsprocessen te analyseren. hierbij worden diverse kwalitatieve en kwantitatieve modellen ingezet.",15,tilbur,101,nlqf5,"de student analyseert een probleem en communiceert naar de afdelingsleider van een organisatie middels een onderbouwde rapportage over de oorzaken van een probleem van operationele, primaire processen waarbij gebruik gemaakt wordt van geschikte kwantitatieve modellen",,0.93,224,5,53,2025-10-26,operat proces tbk studen leren proble operat primai bedrij analys hierbi divers kwalit kwanti model inzett  tilbur
327,analys softwa infras bim,module leren softwa infras inrich organi kennen advise organi aansch nieuw softwa pakket alsmed impact bestaa organi proces infras softwa,"in deze module leer je de software en infrastructuur inrichting van een organisatie kennen adviseer je een organisatie bij de aanschaf van een nieuw (software) pakket alsmede de impact die dit heeft op de bestaande organisatie (processen, infrastructuur en andere software).","in deze module leer je de software en infrastructuur inrichting van een organisatie kennen adviseer je een organisatie bij de aanschaf van een nieuw (software) pakket alsmede de impact die dit heeft op de bestaande organisatie (processen, infrastructuur en andere software).",15,breda,101,nlqf5,"de student en de projectgroep adviseren een managementteam van verschillende organisaties middels analyse van het it landschap en informatievoorziening, waar duurzame verbeteringen mogelijk zijn waarbij gebruik wordt gemaakt van relevante standaarden, methoden, prototypes en modellen.",,0.93,456,2,73,2025-10-29,analys softwa infras bim module leren softwa infras inrich organi kennen advise organi aansch nieuw softwa pakket alsmed impact bestaa organi proces infras softwa  breda
328,asset charac iem,,ntb,ntb,15,breda,101,nlqf5,ntb,,0.46,351,2,73,2025-12-18,asset charac iem   breda
329,aerosp engine mainte,today aerosp indust world grow rapidl consid major drivin force techno develo indust countr cooper public privat indust intern charac englis commun medium nether europe union great need techni train people aviati indust aim minor aerosp engine mainte expose studen indust main engine elemen minor conduc englis open intern studen erasmu exchan progra minor develo deploy academ engine ict ae breda close collab indust resear instit,"today, the aerospace industry in the world is growing very rapidly and considered one of the major driving forces behind technology development. in most industrial countries it is also a cooperation of public and private industries with an international character and english as communication medium. the netherlands (and the european union) has a great need for technically trained people in the aviation industry and the aim of the minor aerospace engineering & maintenance is to expose students to this industry and its main engineering elements. the minor is conducted in english and open for international students and the erasmus exchange program. the minor is developed and deployed within the academy of engineering and ict (ae&i) in breda in close collaboration with the industry and research institutes.","today, the aerospace industry in the world is growing very rapidly and considered one of the major driving forces behind technology development. in most industrial countries it is also a cooperation of public and private industries with an international character and english as communication medium. the netherlands (and the european union) has a great need for technically trained people in the aviation industry and the aim of the minor aerospace engineering & maintenance is to expose students to this industry and its main engineering elements. the minor is conducted in english and open for international students and the erasmus exchange program. the minor is developed and deployed within the academy of engineering and ict (ae&i) in breda in close collaboration with the industry and research institutes.",30,breda,101,nlqf6,"after the program you will have gained insight into the world of aerospace through both company visits and introductions to subjects like aerodynamics and flight mechanics, maintenance management, aviation legislation (certification) as well as human factors & safety (attitude and behavior).",,0.62,60,2,22,2025-11-09,aerosp engine mainte today aerosp indust world grow rapidl consid major drivin force techno develo indust countr cooper public privat indust intern charac englis commun medium nether europe union great need techni train people aviati indust aim minor aerosp engine mainte expose studen indust main engine elemen minor conduc englis open intern studen erasmu exchan progra minor develo deploy academ engine ict ae breda close collab indust resear instit  breda
330,urban innova,intere experi like advise client field innova urban renewa choose urban innova minor urban innova consul solve issue multid team goal make city inclus smart resili sustai,"are you interested in experiencing what it would be like to advise clients in the field of innovation and urban renewal? then choose the urban innovation minor! as an urban innovation consultant, you will be solving issues in a multidisciplinary team with the goal of making cities inclusive, smart, resilient and sustainable.","are you interested in experiencing what it would be like to advise clients in the field of innovation and urban renewal? then choose the urban innovation minor! as an urban innovation consultant, you will be solving issues in a multidisciplinary team with the goal of making cities inclusive, smart, resilient and sustainable.",30,breda,101,nlqf6,"after successfully completing this programme, you will be able to:
•	apply multidisciplinary expertise, both independently and as a team
•	apply research methods
•	analyse specific problems in the professional practice
•	manage a consulting process
•	direct the development of your skills, knowledge and attitude",,0.5,162,5,78,2025-12-10,urban innova intere experi like advise client field innova urban renewa choose urban innova minor urban innova consul solve issue multid team goal make city inclus smart resili sustai  breda
331,innova,centra thema minor betrek techno innova nieuw produc dienst proces bestaa nieuw organi mogeli innova verbet bedrij organi uitvoe innova vernie invoer nieuw idee goed dienst proces innova plaats organi breder verban proces innova draaie ding nieuw manier inpakk,"het centrale thema van deze minor heeft betrekking op technologie en innovatie van nieuwe producten/diensten en processen binnen bestaande en nieuwe organisatie en de mogelijkheden van innovatie om verbeteringen in de bedrijfsvoering van organisaties door te voeren. innovatie of vernieuwing is het invoeren van nieuwe ideeën, goederen, diensten en processen. innovatie kan plaatsvinden binnen organisaties maar ook binnen bredere verbanden. het proces van innovatie draait om dingen op een nieuwe (en zo mogelijk ook betere) manier aan te pakken.","het centrale thema van deze minor heeft betrekking op technologie en innovatie van nieuwe producten/diensten en processen binnen bestaande en nieuwe organisatie en de mogelijkheden van innovatie om verbeteringen in de bedrijfsvoering van organisaties door te voeren. innovatie of vernieuwing is het invoeren van nieuwe ideeën, goederen, diensten en processen. innovatie kan plaatsvinden binnen organisaties maar ook binnen bredere verbanden. het proces van innovatie draait om dingen op een nieuwe (en zo mogelijk ook betere) manier aan te pakken.",30,tilbur,101,nlqf6,"een student die de minor innovatie management heeft afgerond moet in een groeiend, innoverend en product ontwikkelend of dienstverlenende (internationale) organisatie op verschillende aspecten bij kunnen dragen aan het innovatieproces.",,0.49,195,3,69,2025-10-03,innova centra thema minor betrek techno innova nieuw produc dienst proces bestaa nieuw organi mogeli innova verbet bedrij organi uitvoe innova vernie invoer nieuw idee goed dienst proces innova plaats organi breder verban proces innova draaie ding nieuw manier inpakk  tilbur
332,softwa engine kwalit test,kiezen minor theori prakti bouwen test groots softwa systee geheim leren kwalit belang ontwik behere softwa tevens gaan slag versch test method test tools focus minor liggen kwalit geheel softwa develo life cycle sdlc minor leren grip krijge zaak beheer kwalit test ontwik comple inform,"kies je voor deze minor, dan heeft de theorie en praktijk van het bouwen en testen van grootschalige software systemen geen geheimen meer voor jou. je leert welke kwaliteitsaspecten van belang zijn bij het ontwikkelen en beheren van software. tevens ga je aan de slag met veel verschillende test methodieken en test tools. de focus van de minor ligt op kwaliteit binnen de gehele software development life cycle (sdlc). de minor leert je grip te krijgen op zaken als beheersbaarheid, kwaliteit en testen bij het ontwikkelen van complexe informatiesystemen.","kies je voor deze minor, dan heeft de theorie en praktijk van het bouwen en testen van grootschalige software systemen geen geheimen meer voor jou. je leert welke kwaliteitsaspecten van belang zijn bij het ontwikkelen en beheren van software. tevens ga je aan de slag met veel verschillende test methodieken en test tools. de focus van de minor ligt op kwaliteit binnen de gehele software development life cycle (sdlc). de minor leert je grip te krijgen op zaken als beheersbaarheid, kwaliteit en testen bij het ontwikkelen van complexe informatiesystemen.",30,breda,101,nlqf6,ntb,,0.32,72,5,31,2025-10-23,softwa engine kwalit test kiezen minor theori prakti bouwen test groots softwa systee geheim leren kwalit belang ontwik behere softwa tevens gaan slag versch test method test tools focus minor liggen kwalit geheel softwa develo life cycle sdlc minor leren grip krijge zaak beheer kwalit test ontwik comple inform  breda
