id,name,shortdescription,description,content,studycredit,location,contact_id,level,learningoutcomes,module_tags,interests_match_score,popularity_score,estimated_difficulty,available_spots,start_date
317,datagedreven besluitvorming met ai,"data science, ai, python, onderzoek",in deze module leren studenten de basis van dataverwerking en visualisatie. ze maken met elkaars discipline kennis door de data die ze samen interpreteren. op basis van een voor hun vakgebied relevante dataset ontdekken studenten wat ze van deze data kunnen leren.,in deze module leren studenten de basis van dataverwerking en visualisatie. ze maken met elkaars discipline kennis door de data die ze samen interpreteren. op basis van een voor hun vakgebied relevante dataset ontdekken studenten wat ze van deze data kunnen leren.,15,breda,101,nlqf6,de student interpreteert eenvoudige data-analyses. ze gebruikt python met numpy en pandas om een data-analyse te maken en weten hoe ze de data duidelijk kunnen representeren. ze stelt aanbevelingen op voor realistische vraagstukken en data uit de praktijk.,"['data', 'science', 'ai', 'python', 'onderzoek']",0.57,151,4,59,2025-10-12
318,ai driven robotics,smart industry / smart health,"intro
nu al hoort men overal dat robots en ai “onze banen” gaan overnemen. chatgpt, midjourney en een lijst andere ai tools bieden mogelijkheden voor het snel en aantrekkelijk genereren van content. robots kunnen veel algoritmische taken van fabriekswerkers overnemen. maar kunnen robots ook functioneren in een minder vastomlijnde omgeving in samenwerking met mensen? (cobots)

inhoud
in deze module gaan de studenten een robot bouwen (uit een kit of op basis van een platform) en die machine learning (en/of andere ai toepassingen) toepassen om de robot te trainen om moeilijke taken te vervullen.   op te leveren producten: een robot, de gedocumenteerde avonturen van de robot, het “brein” van de robot en een reflectie op hoe hier zakelijke of commerciële toepassingen voor te bedenken zouden zijn.","intro
nu al hoort men overal dat robots en ai “onze banen” gaan overnemen. chatgpt, midjourney en een lijst andere ai tools bieden mogelijkheden voor het snel en aantrekkelijk genereren van content. robots kunnen veel algoritmische taken van fabriekswerkers overnemen. maar kunnen robots ook functioneren in een minder vastomlijnde omgeving in samenwerking met mensen? (cobots)

inhoud
in deze module gaan de studenten een robot bouwen (uit een kit of op basis van een platform) en die machine learning (en/of andere ai toepassingen) toepassen om de robot te trainen om moeilijke taken te vervullen.   op te leveren producten: een robot, de gedocumenteerde avonturen van de robot, het “brein” van de robot en een reflectie op hoe hier zakelijke of commerciële toepassingen voor te bedenken zouden zijn.",15,breda,101,nlqf6,ntb,"['smart', 'industry', 'smart', 'health']",0.44,469,1,51,2025-10-11
319,green belt,smart industry / smart health,studenten leren theorie en praktijk van een procesverbetering op green belt niveau (als mogelijk volgens erkende richtlijnen). er wordt een aantoonbare besparing opgeleverd. aan deze module hangt een green belt certificering.,studenten leren theorie en praktijk van een procesverbetering op green belt niveau (als mogelijk volgens erkende richtlijnen). er wordt een aantoonbare besparing opgeleverd. aan deze module hangt een green belt certificering.,15,tilburg,101,nlqf5,ntb,"['smart', 'industry', 'smart', 'health']",0.38,380,4,53,2025-12-10
320,smart health,smart health,"intro
er ligt een gat tussen techneuten en zorgprofessionals. techneuten missen domeinkennis van de zorg en zorgprofessionals hebben geen goed beeld van de (on)mogelijkheden van technologie. deze module brengt de twee samen om zorgvraagstukken aan te pakken.

inhoud
op basis van een interdisciplinair project gaan studenten van atix en agz samen aan de slag om de zorg te verbeteren. in het project wordt de kennis uit de opleiding gebruikt om een challenge aan te pakken. het doel is techneuten te introduceren in de belevingswereld van zorgprofessionals en andersom. naast het gezamenlijk aanpakken van de challenge zou dat bijvoorbeeld ook in samenwerking met amphia in het ziekenhuis kunnen plaatsvinden. technische diepgang wordt geborgd.","intro
er ligt een gat tussen techneuten en zorgprofessionals. techneuten missen domeinkennis van de zorg en zorgprofessionals hebben geen goed beeld van de (on)mogelijkheden van technologie. deze module brengt de twee samen om zorgvraagstukken aan te pakken.

inhoud
op basis van een interdisciplinair project gaan studenten van atix en agz samen aan de slag om de zorg te verbeteren. in het project wordt de kennis uit de opleiding gebruikt om een challenge aan te pakken. het doel is techneuten te introduceren in de belevingswereld van zorgprofessionals en andersom. naast het gezamenlijk aanpakken van de challenge zou dat bijvoorbeeld ook in samenwerking met amphia in het ziekenhuis kunnen plaatsvinden. technische diepgang wordt geborgd.",15,breda,101,nlqf5,ntb,"['smart', 'health']",0.52,480,3,47,2025-09-06
321,virtual en augmented reality,"virtual reality, augmented reality, digital twin, serious game, user experience","in deze module leren studenten een doeltreffende vr/ar applicatie te maken, waarbij ux-design, 3d rendering, interaction-design, game design en asset creatie aan bod komen.","in deze module leren studenten een doeltreffende vr/ar applicatie te maken, waarbij ux-design, 3d rendering, interaction-design, game design en asset creatie aan bod komen.",15,breda,101,nlqf5,"de student ontwerpt en realiseert een toepassing voor vr/ar voor een realistisch vraagstuk, waarbij de toepassing een serious game, digital twin of procesoptimalisatie is.","['virtual', 'reality', 'augmented', 'reality', 'digital', 'twin', 'serious', 'game', 'user', 'experience']",0.91,152,5,50,2025-10-22
322,cybersecurity,"hacking, digital veiligheid, infrastructuur","studenten leren aan de hand van pakkende voorbeelden, waarbij ze zelf op de stoel van hackers zitten, over wat de gevaren van het internet zijn en hoe ze zich daartegen kunnen wapenen. leer over de ethiek en wetgeving erachter, social engineering en de technische aspecten van het hacken.","studenten leren aan de hand van pakkende voorbeelden, waarbij ze zelf op de stoel van hackers zitten, over wat de gevaren van het internet zijn en hoe ze zich daartegen kunnen wapenen. leer over de ethiek en wetgeving erachter, social engineering en de technische aspecten van het hacken.",15,breda,101,nlqf5,"de student adviseert gebruikers over cyberveiligheid, op het gebied van ethiek en wetgeving, social engineering en de technische maatregelen tegen hacken.","['hacking', 'digital', 'veiligheid', 'infrastructuur']",0.51,101,4,27,2025-09-26
323,advanced computer vision,smart industry,"intro
computer vision maakt het mogelijk voor computers om te zien en te begrijpen wat er in de wereld om hen heen gebeurt. het wordt gebruikt in een breed scala aan toepassingen, waaronder gezichtsherkenning, objectdetectie en zelfrijdende auto's. het is een snelgroeiend vakgebied met de potentie om de manier waarop we met de wereld om ons heen omgaan te revolutioneren.

inhoud
deze module introduceert de klassieke beeldverwerking (5ec), de ai gebaseerde beeldverwerking (5ec) en een op ai gebaseerde praktijktoepassing (5ec).","intro
computer vision maakt het mogelijk voor computers om te zien en te begrijpen wat er in de wereld om hen heen gebeurt. het wordt gebruikt in een breed scala aan toepassingen, waaronder gezichtsherkenning, objectdetectie en zelfrijdende auto's. het is een snelgroeiend vakgebied met de potentie om de manier waarop we met de wereld om ons heen omgaan te revolutioneren.

inhoud
deze module introduceert de klassieke beeldverwerking (5ec), de ai gebaseerde beeldverwerking (5ec) en een op ai gebaseerde praktijktoepassing (5ec).",15,breda,101,nlqf6,ntb,"['smart', 'industry']",0.64,363,5,58,2025-11-03
324,engineering for non-engineers,smart industry / smart health / smart energy,"wat betekent het om fysieke producten te realiseren? een module om niet-engineers kennis te laten maken met ontwerptechnieken, productiemethoden en -processen. uiteindelijk is het de bedoeling om zelf wat te creeren.

steeds vaker wordt technologie ingezet voor het oplossen van maatschappelijke problemen. de studenten die deelnemen aan de keuzemodule moeten zelf een oplossing bedenken voor een bestaand maatschappelijk probleem. vervolgens gaan zij dit ontwerpen en realiseren. dit kan een digitaal of fysiek product zijn. de beoordeling kan gebaseerd zijn op het opgeleverde product of op bijvoorbeeld een dossier die de studenten maken op basis van hun ontwikkelingen en bevindingen.  zo leren de studenten ook om zelf van a tot z een product te bedenken én te realiseren.  dit onderwerp past bij meerdere avans zwaartepunten en combineert productoplossingen met problemen binnen de maatschappij. de lessen kunnen ingericht worden op basis van behoeftes, maar ook om te helpen met het bedenken van concepten tot helpen met het realiseren van producten.","wat betekent het om fysieke producten te realiseren? een module om niet-engineers kennis te laten maken met ontwerptechnieken, productiemethoden en -processen. uiteindelijk is het de bedoeling om zelf wat te creeren.

steeds vaker wordt technologie ingezet voor het oplossen van maatschappelijke problemen. de studenten die deelnemen aan de keuzemodule moeten zelf een oplossing bedenken voor een bestaand maatschappelijk probleem. vervolgens gaan zij dit ontwerpen en realiseren. dit kan een digitaal of fysiek product zijn. de beoordeling kan gebaseerd zijn op het opgeleverde product of op bijvoorbeeld een dossier die de studenten maken op basis van hun ontwikkelingen en bevindingen.  zo leren de studenten ook om zelf van a tot z een product te bedenken én te realiseren.  dit onderwerp past bij meerdere avans zwaartepunten en combineert productoplossingen met problemen binnen de maatschappij. de lessen kunnen ingericht worden op basis van behoeftes, maar ook om te helpen met het bedenken van concepten tot helpen met het realiseren van producten.",15,breda,101,nlqf5,ntb,"['smart', 'industry', 'smart', 'health', 'smart', 'energy']",0.76,331,1,45,2025-12-07
325,makerspace,"makerspace, uitvinden, engineering, design thinking, storytelling",in deze module bedenken studenten een oplossing voor een maatschappelijk probleem. vervolgens gaan zij dit ontwerpen en realiseren. dat doen ze onder begeleiding van verschillende docenten en instructeurs die ze de engineeringvaardigheden aanleren die ze nodig hebben om tot het resultaat te komen. dit doen ze in een inspirerende omgeving waar ze alle materialen voorhanden hebben.,in deze module bedenken studenten een oplossing voor een maatschappelijk probleem. vervolgens gaan zij dit ontwerpen en realiseren. dat doen ze onder begeleiding van verschillende docenten en instructeurs die ze de engineeringvaardigheden aanleren die ze nodig hebben om tot het resultaat te komen. dit doen ze in een inspirerende omgeving waar ze alle materialen voorhanden hebben.,15,breda,101,nlqf6,"de student vindt een oplossing voor een groot maatschappelijk probleem uit. daarvoor doet zij engineeringsvaardigheden op, die ze deels zelfstandig ontwikkelt. het product wordt met design thinking ontworpen. de student pitched het product voor een investeerder.","['makerspace', 'uitvinden', 'engineering', 'design', 'thinking', 'storytelling']",0.54,297,5,77,2025-10-29
326,operationeel procesadvies (1.3 tbk),ntb,"studenten leren om problemen in operationele, primaire bedrijfsprocessen te analyseren. hierbij worden diverse kwalitatieve en kwantitatieve modellen ingezet.","studenten leren om problemen in operationele, primaire bedrijfsprocessen te analyseren. hierbij worden diverse kwalitatieve en kwantitatieve modellen ingezet.",15,tilburg,101,nlqf5,"de student analyseert een probleem en communiceert naar de afdelingsleider van een organisatie middels een onderbouwde rapportage over de oorzaken van een probleem van operationele, primaire processen waarbij gebruik gemaakt wordt van geschikte kwantitatieve modellen",['ntb'],0.93,224,5,53,2025-10-26
327,analyseren van software en infrastructuur (1.3 bim),ntb,"in deze module leer je de software en infrastructuur inrichting van een organisatie kennen adviseer je een organisatie bij de aanschaf van een nieuw (software) pakket alsmede de impact die dit heeft op de bestaande organisatie (processen, infrastructuur en andere software).","in deze module leer je de software en infrastructuur inrichting van een organisatie kennen adviseer je een organisatie bij de aanschaf van een nieuw (software) pakket alsmede de impact die dit heeft op de bestaande organisatie (processen, infrastructuur en andere software).",15,breda,101,nlqf5,"de student en de projectgroep adviseren een managementteam van verschillende organisaties middels analyse van het it landschap en informatievoorziening, waar duurzame verbeteringen mogelijk zijn waarbij gebruik wordt gemaakt van relevante standaarden, methoden, prototypes en modellen.",['ntb'],0.93,456,2,73,2025-10-29
328,asset characteristics (1.3 iem),ntb,ntb,ntb,15,breda,101,nlqf5,ntb,['ntb'],0.46,351,2,73,2025-12-18
329,aerospace engineering & maintenance,ntb,"today, the aerospace industry in the world is growing very rapidly and considered one of the major driving forces behind technology development. in most industrial countries it is also a cooperation of public and private industries with an international character and english as communication medium. the netherlands (and the european union) has a great need for technically trained people in the aviation industry and the aim of the minor aerospace engineering & maintenance is to expose students to this industry and its main engineering elements. the minor is conducted in english and open for international students and the erasmus exchange program. the minor is developed and deployed within the academy of engineering and ict (ae&i) in breda in close collaboration with the industry and research institutes.","today, the aerospace industry in the world is growing very rapidly and considered one of the major driving forces behind technology development. in most industrial countries it is also a cooperation of public and private industries with an international character and english as communication medium. the netherlands (and the european union) has a great need for technically trained people in the aviation industry and the aim of the minor aerospace engineering & maintenance is to expose students to this industry and its main engineering elements. the minor is conducted in english and open for international students and the erasmus exchange program. the minor is developed and deployed within the academy of engineering and ict (ae&i) in breda in close collaboration with the industry and research institutes.",30,breda,101,nlqf6,"after the program you will have gained insight into the world of aerospace through both company visits and introductions to subjects like aerodynamics and flight mechanics, maintenance management, aviation legislation (certification) as well as human factors & safety (attitude and behavior).",['ntb'],0.62,60,2,22,2025-11-09
330,urban innovation,ntb,"are you interested in experiencing what it would be like to advise clients in the field of innovation and urban renewal? then choose the urban innovation minor! as an urban innovation consultant, you will be solving issues in a multidisciplinary team with the goal of making cities inclusive, smart, resilient and sustainable.","are you interested in experiencing what it would be like to advise clients in the field of innovation and urban renewal? then choose the urban innovation minor! as an urban innovation consultant, you will be solving issues in a multidisciplinary team with the goal of making cities inclusive, smart, resilient and sustainable.",30,breda,101,nlqf6,"after successfully completing this programme, you will be able to:
•	apply multidisciplinary expertise, both independently and as a team
•	apply research methods
•	analyse specific problems in the professional practice
•	manage a consulting process
•	direct the development of your skills, knowledge and attitude",['ntb'],0.5,162,5,78,2025-12-10
331,innovatiemanagement,ntb,"het centrale thema van deze minor heeft betrekking op technologie en innovatie van nieuwe producten/diensten en processen binnen bestaande en nieuwe organisatie en de mogelijkheden van innovatie om verbeteringen in de bedrijfsvoering van organisaties door te voeren. innovatie of vernieuwing is het invoeren van nieuwe ideeën, goederen, diensten en processen. innovatie kan plaatsvinden binnen organisaties maar ook binnen bredere verbanden. het proces van innovatie draait om dingen op een nieuwe (en zo mogelijk ook betere) manier aan te pakken.","het centrale thema van deze minor heeft betrekking op technologie en innovatie van nieuwe producten/diensten en processen binnen bestaande en nieuwe organisatie en de mogelijkheden van innovatie om verbeteringen in de bedrijfsvoering van organisaties door te voeren. innovatie of vernieuwing is het invoeren van nieuwe ideeën, goederen, diensten en processen. innovatie kan plaatsvinden binnen organisaties maar ook binnen bredere verbanden. het proces van innovatie draait om dingen op een nieuwe (en zo mogelijk ook betere) manier aan te pakken.",30,tilburg,101,nlqf6,"een student die de minor innovatie management heeft afgerond moet in een groeiend, innoverend en product ontwikkelend of dienstverlenende (internationale) organisatie op verschillende aspecten bij kunnen dragen aan het innovatieproces.",['ntb'],0.49,195,3,69,2025-10-03
332,"software engineering, kwaliteit en testen",ntb,"kies je voor deze minor, dan heeft de theorie en praktijk van het bouwen en testen van grootschalige software systemen geen geheimen meer voor jou. je leert welke kwaliteitsaspecten van belang zijn bij het ontwikkelen en beheren van software. tevens ga je aan de slag met veel verschillende test methodieken en test tools. de focus van de minor ligt op kwaliteit binnen de gehele software development life cycle (sdlc). de minor leert je grip te krijgen op zaken als beheersbaarheid, kwaliteit en testen bij het ontwikkelen van complexe informatiesystemen.","kies je voor deze minor, dan heeft de theorie en praktijk van het bouwen en testen van grootschalige software systemen geen geheimen meer voor jou. je leert welke kwaliteitsaspecten van belang zijn bij het ontwikkelen en beheren van software. tevens ga je aan de slag met veel verschillende test methodieken en test tools. de focus van de minor ligt op kwaliteit binnen de gehele software development life cycle (sdlc). de minor leert je grip te krijgen op zaken als beheersbaarheid, kwaliteit en testen bij het ontwikkelen van complexe informatiesystemen.",30,breda,101,nlqf6,ntb,['ntb'],0.32,72,5,31,2025-10-23
333,smart industry & internet of things,"big data, smart robotics, artificial intelligence, machine learning, iot, smart industry, industry 4.0","big data, smart robotics, artificial intelligence, machine learning……onderwerpen die steeds vaker in het nieuws komen. het kan je moeilijk zijn ontgaan: we bevinden ons midden in de vierde industriële revolutie. technologische ontwikkelingen leiden tot steeds snellere en meer ingrijpende veranderingen. organisaties staan te springen om professionals die kunnen opereren op de grenzen van engineering, ict en bedrijfskunde.
de academie atix (academie voor technologie en innovatie) verzorgt opleidingen op alle drie de kennisgebieden (engineering , ict en bedrijfskunde), waardoor het mogelijk is om de juiste kennis aan te bieden aan het bedrijfsleven. als student ontwikkel je vaardigheden op meerdere vakgebieden die je kunt inzetten voor smart industry en internet of things oplossingen.","big data, smart robotics, artificial intelligence, machine learning……onderwerpen die steeds vaker in het nieuws komen. het kan je moeilijk zijn ontgaan: we bevinden ons midden in de vierde industriële revolutie. technologische ontwikkelingen leiden tot steeds snellere en meer ingrijpende veranderingen. organisaties staan te springen om professionals die kunnen opereren op de grenzen van engineering, ict en bedrijfskunde.
de academie atix (academie voor technologie en innovatie) verzorgt opleidingen op alle drie de kennisgebieden (engineering , ict en bedrijfskunde), waardoor het mogelijk is om de juiste kennis aan te bieden aan het bedrijfsleven. als student ontwikkel je vaardigheden op meerdere vakgebieden die je kunt inzetten voor smart industry en internet of things oplossingen.",30,breda,101,nlqf6,"de volgende leerdoelen staan centraal tijdens deze minor:
 •	de student (her)ontwerpt bedrijfsprocessen en/of ondersteunende middelen door maximaal gebruik te maken van de nieuwste informatie en technologische ontwikkelingen, zodanig dat deze bedrijven efficiënter, flexibeler, kwalitatief beter en tailor-made kunnen produceren.
•	de student werkt samen in een multidisciplinair team, zodanig dat ze gezamenlijk tot een integrale oplossing komen.
 •	de student ontwikkelt kennis en vaardigheden op het gebied van smart industry middels het stellen van de juiste leervragen, zodanig dat hij/zij zijn ontwikkeldoelstellingen bereikt.","['big', 'data', 'smart', 'robotics', 'artificial', 'intelligence', 'machine', 'learning', 'iot', 'smart', 'industry', 'industry', '40']",0.7,199,3,20,2025-09-22
334,artifical intelligence,ntb,"we gaan met drie gebieden van ml aan de gang, namelijk supervised learning (leren op basis van gelabelde trainingsdata, bijvoorbeeld het herkennen van fruitsoorten op plaatjes), unsupervised learning (vinden van verborgen structuren in data, bijvoorbeeld het recommender system van youtube) en reinforcement learning (leren door te interacteren met de omgeving, bijvoorbeeld een zelfrijdende auto). daarnaast besteden we aandacht aan generative ai, het genereren van nieuwe data, bijvoorbeeld https://thispersondoesnotexist.com.","we gaan met drie gebieden van ml aan de gang, namelijk supervised learning (leren op basis van gelabelde trainingsdata, bijvoorbeeld het herkennen van fruitsoorten op plaatjes), unsupervised learning (vinden van verborgen structuren in data, bijvoorbeeld het recommender system van youtube) en reinforcement learning (leren door te interacteren met de omgeving, bijvoorbeeld een zelfrijdende auto). daarnaast besteden we aandacht aan generative ai, het genereren van nieuwe data, bijvoorbeeld https://thispersondoesnotexist.com.",30,breda,101,nlqf6,ntb,['ntb'],0.63,134,3,73,2025-09-21
335,robotisering,ntb,de robots komen eraan! de minor robotisering heeft als doel om studenten kennis en ervaring te laten opdoen met de ontwikkeling van robots en robotsystemen die een bijdrage leveren aan onze samenleving en onze industrie.,de robots komen eraan! de minor robotisering heeft als doel om studenten kennis en ervaring te laten opdoen met de ontwikkeling van robots en robotsystemen die een bijdrage leveren aan onze samenleving en onze industrie.,30,breda,101,nlqf6,ntb,['ntb'],0.33,159,2,63,2025-11-09
336,app-development,"maui, .net, cybersecurity",in deze stammodule leren studenten een veilige app te maken met .net maui.,in deze stammodule leren studenten een veilige app te maken met .net maui.,15,breda,101,nlqf5,"ontwikkel een grafische app met een beveiligde backend voor een maatschappelijk relevant vraagstuk volgens de software development life cycle. 

voer je project planmatig uit met behulp van de scrummethode en communiceer professioneel tijdens bijeenkomsten en in contact met de opdrachtgever. onderbouw mondeling je visie en feedback met sterke argumenten.
analyseer de probleemcontext, met speciale aandacht voor de maatschappelijke relevantie van de opdracht. dit doe je door middel van een gedegen stakeholderanalyse. achterhaal de requirements door backlog te bestuderen en een of meerdere stakeholders te interviewen.  maak ook een risicoanalyse voor je ontwerp. 
pas in je ontwerp een beveiligde client/server-architectuur toe met behulp van een restful web api en pas daarbij ontwerpprincipes toe voor 2d ux en gaming.
realiseer zowel het client- als het serversubsysteem en houd rekening met beveiliging van de onderlinge communicatie.
test de app met behulp van unit testen, acceptatietesten en de vastgestelde acceptatiecriteria van de stakeholders.
 deploy en beheer je applicatiesysteem met behulp van ci/cd tools.","['maui', 'net', 'cybersecurity']",0.48,323,4,24,2025-11-09
337,industriële robotcel,"robot, plc, smart camera, plc","in deze stammodule leren studenten een systeem bestaande uit een robot en meerdere deelsystemen gecoordineerd te laten samenwerken. nadruk ligt op systeemdenken, software en hardware-integratie","in deze stammodule leren studenten een systeem bestaande uit een robot en meerdere deelsystemen gecoordineerd te laten samenwerken. nadruk ligt op systeemdenken, software en hardware-integratie",15,breda,101,nlqf5,ntb,"['robot', 'plc', 'smart', 'camera', 'plc']",0.89,67,1,49,2025-12-28
338,realisatie energiewerktuig (1.3 wtb),"thermodynamica, pomp",in deze stammodule leren studenten de eerste beginselen van de warme energitechniek waarbij,in deze stammodule leren studenten de eerste beginselen van de warme energitechniek waarbij,15,breda,101,nlqf5,ntb,"['thermodynamica', 'pomp']",0.46,351,2,49,2025-12-21
339,onderzoekslab energie- en materiaaltransitie,ntb,"vind jij het ook belangrijk om positief bij te dragen aan de maatschappij voor jezelf en toekomstige generaties? en wil je ook nog jouw onderzoeksskills verbeteren? heb je nog een minor te kiezen of 15 studiepunten openstaan van je stage of een eps-traject? 
doe dan mee aan een onderzoeksproject naar keuze in een lectoraat in het avans zwaartepunt transities in energie en materiaal!","vind jij het ook belangrijk om positief bij te dragen aan de maatschappij voor jezelf en toekomstige generaties? en wil je ook nog jouw onderzoeksskills verbeteren? heb je nog een minor te kiezen of 15 studiepunten openstaan van je stage of een eps-traject? 
doe dan mee aan een onderzoeksproject naar keuze in een lectoraat in het avans zwaartepunt transities in energie en materiaal!",30,breda,101,nlqf6,ntb,['ntb'],0.39,314,2,78,2025-09-04
340,ai translator,ntb,"kunstmatige intelligentie of ai wordt snel belangrijker en komt steeds vaker voor in onze wereld. doorbraken stapelen zich op en ai-systemen hebben overal invloed op: van filters voor sociale media, slimme chatbot (gpt), health-tech, energie transitie tot netflix aanbevelingen …
tegelijkertijd zijn er ook bedreigingen waarmee we worden geconfronteerd die ons werk uitdagen, onze privacy schenden, groepen discrimineren en gevallen waarin het fout ging … om er maar een paar te noemen de toeslagenaffaire, cambridge analytica, bijstandaffaire …
mensen die ai-systemen ontwerpen, kijken vaak met een technisch oog en negeren de maatschappelijke of individuele gevolgen van deze systemen. er komt zoveel meer bij kijken dan het oplossen van het probleem binnen de techniek, hoe ga je mensen en bedrijfsprocessen hierin betrekken?

er is een dringende behoefte om het technische aspect te vertalen naar de real-world implementatie. we hebben mensen nodig die als liaison fungeren en de kloof overbruggen tussen de kennis die wordt gegenereerd door ai-systemen en de domeinkennis van gebruikers.
als ai-vertaler, je vertaalt complexe praktijksituaties naar ai-experts, data wetenschappers, begeleidt het proces op inhoud en zorgt ervoor dat het resultaat wordt ingebed in die praktijk.
je bepaalt niet alleen wat kan en mag (het technologische en juridische vraagstuk), maar ook wat wenselijk en verantwoord is (het ethische en maatschappelijke vraagstuk). je vertaalt dit naar business cases.","kunstmatige intelligentie of ai wordt snel belangrijker en komt steeds vaker voor in onze wereld. doorbraken stapelen zich op en ai-systemen hebben overal invloed op: van filters voor sociale media, slimme chatbot (gpt), health-tech, energie transitie tot netflix aanbevelingen …
tegelijkertijd zijn er ook bedreigingen waarmee we worden geconfronteerd die ons werk uitdagen, onze privacy schenden, groepen discrimineren en gevallen waarin het fout ging … om er maar een paar te noemen de toeslagenaffaire, cambridge analytica, bijstandaffaire …
mensen die ai-systemen ontwerpen, kijken vaak met een technisch oog en negeren de maatschappelijke of individuele gevolgen van deze systemen. er komt zoveel meer bij kijken dan het oplossen van het probleem binnen de techniek, hoe ga je mensen en bedrijfsprocessen hierin betrekken?

er is een dringende behoefte om het technische aspect te vertalen naar de real-world implementatie. we hebben mensen nodig die als liaison fungeren en de kloof overbruggen tussen de kennis die wordt gegenereerd door ai-systemen en de domeinkennis van gebruikers.
als ai-vertaler, je vertaalt complexe praktijksituaties naar ai-experts, data wetenschappers, begeleidt het proces op inhoud en zorgt ervoor dat het resultaat wordt ingebed in die praktijk.
je bepaalt niet alleen wat kan en mag (het technologische en juridische vraagstuk), maar ook wat wenselijk en verantwoord is (het ethische en maatschappelijke vraagstuk). je vertaalt dit naar business cases.",30,breda,101,nlqf6,ntb,['ntb'],0.62,189,4,76,2025-12-03
341,minor aquacycle: circular water technology,"water technology, circularity, water chain, reuse, multidisciplinarity","in 1st quarter, comprehensive understanding of the water chain, from precipitation, use of drinking water and process water, sewage systems, wastewater treatment to reuse, by combining a solid theoretical foundation with practical experience will be made. in the 2nd, you'll design and develop innovative systems related to circular water technology at a company. this will be done with a small multidisciplinary group of students as an internship.","in 1st quarter, comprehensive understanding of the water chain, from precipitation, use of drinking water and process water, sewage systems, wastewater treatment to reuse, by combining a solid theoretical foundation with practical experience will be made. in the 2nd, you'll design and develop innovative systems related to circular water technology at a company. this will be done with a small multidisciplinary group of students as an internship.",30,breda en den bosch,101,nlqf6,"• learning outcome - integration of theory and practice in circular water technology: the student demonstrates a comprehensive understanding of circular water technology. this includes the ability to perform area analysis, quantify available water, and apply biological, physical, and chemical purification techniques. the student will also demonstrate the ability to set up mass balances, understand sewage systems, and explore innovative technologies for water reuse. in addition to this theoretical knowledge, the student will gain practical skills, including the ability to utilize advanced modelling techniques in fluid dynamics and perform water quality analyses.","['water', 'technology', 'circularity', 'water', 'chain', 'reuse', 'multidisciplinarity']",0.94,179,1,36,2025-11-14
342,module intro to material and energy transition,"energy transition, material transition, centre of expertise, research, interdisciplinary","module 2.3. get an introduction to doing research and to the (technical) world of material and energy transition towards a sustainable world. get a chance to work on on-going research on an interdisciplinairy project in a multidisciplinary way, with students from different programs. there is freedom in the topic you work on. the module includes workshops on research and different content from energy and material science.","module 2.3. get an introduction to doing research and to the (technical) world of material and energy transition towards a sustainable world. get a chance to work on on-going research on an interdisciplinairy project in a multidisciplinary way, with students from different programs. there is freedom in the topic you work on. the module includes workshops on research and different content from energy and material science.",15,breda,101,nlqf5,"• learning outcome project: the student optimizes a part of a given water chain of a real-life project in a multidisciplinary group, based on the principles of circularity, considering water quality, water quantity and the environment. the students make one design sketch from all partial results and relate this to the relevant sdgs 6,9,11,13 and 14.","['energy', 'transition', 'material', 'transition', 'centre', 'of', 'expertise', 'research', 'interdisciplinary']",0.46,335,5,67,2025-11-01
343,minor biopolymeren/circulaire polymeren,"materiaal transitie, onderzoek als vorm van onderwijs, interdisciplinair","de minor biopolymeren is verbredend en heeft naast een procestechnologische dimensie ook een chemische dimensie, waarbij het accent ligt op verwerkingstechnologie van kunststoffen, polymeren en biopolymeren. de ontwikkeling, productie en toepassing van biopolymeren tot eindproducten en materiaaleigenschappen zijn hoofdthema in de maatschappij en het bedrijfsleven. het onderwerp wordt benaderd vanuit een duurzame invalshoek, van groot maatschappelijk belang in de komende 50 jaar.","de minor biopolymeren is verbredend en heeft naast een procestechnologische dimensie ook een chemische dimensie, waarbij het accent ligt op verwerkingstechnologie van kunststoffen, polymeren en biopolymeren. de ontwikkeling, productie en toepassing van biopolymeren tot eindproducten en materiaaleigenschappen zijn hoofdthema in de maatschappij en het bedrijfsleven. het onderwerp wordt benaderd vanuit een duurzame invalshoek, van groot maatschappelijk belang in de komende 50 jaar.",30,breda,101,nlqf6,• learning outcome internship: the student applies circular water technology knowledge and skills to a case study at a company in a multidisciplinary group. this results in a relevant professional product for the company.,"['materiaal', 'transitie', 'onderzoek', 'als', 'vorm', 'van', 'onderwijs', 'interdisciplinair']",0.74,280,5,66,2025-11-01
